DeptId,ZipCode,NumberOfStations,ActivePersonnel
352,16601,2,41
353,15656,1,18
354,15049,3,35
355,39083,1,12
356,66749,1,16
357,75013,4,80
358,41601,1,18
359,74825,1,14
360,70655,5,41
361,70648,8,41
362,70658,3,30
363,48101,1,24
364,18067,1,20
365,49227,1,18
366,43040,1,33
367,45889,2,30
368,60470,1,17
369,28025,1,22
370,28174,1,22
371,43430,3,80
372,68710,1,14
373,07401,1,45
374,49401,1,30
375,62410,2,30
376,07711,1,35
377,15412,1,17
378,80510,5,28
379,03275,1,21
380,42204,1,20
381,17002,1,25
382,27574,1,27
383,53002,1,45
384,18103,7,143
385,20744,2,68
386,14707,1,28
387,31003,1,15
388,50008,1,28
389,61810,1,15
390,35013,1,10
391,69301,2,51
392,44601,2,30
393,84044,1,10
394,54009,3,48
395,29101,5,20
396,32346,2,18
397,61774,1,22
398,06516,2,37
399,72560,4,21
400,38541,1,11
401,08001,1,25
402,49950,1,16
403,31510,6,76
404,54611,2,30
405,64001,1,20
406,68920,1,32
407,14708,1,30
408,75119,1,15
409,26320,1,15
410,32567,1,8
411,37167,3,45
412,55012,1,32
413,54805,1,32
414,49650,1,54
415,99103,1,18
416,14804,1,42
417,54909,1,30
418,48003,1,30
419,81210,1,16
420,58520,1,25
421,04535,1,24
422,62207,1,25
423,49707,1,12
424,49707,1,29
425,57312,1,20
426,72611,2,16
427,49707,3,23
428,16801,3,91
429,17340,1,60
430,56111,1,15
431,57772,1,37
432,08865,1,40
433,49920,2,10
434,38632,2,22
435,30009,6,103
436,38570,1,15
437,71920,1,20
438,85920,1,21
439,07620,1,23
440,83128,1,15
441,91901,1,14
442,49321,3,22
443,38828,1,15
444,79830,1,27
445,71360,4,56
446,12008,1,38
447,19522,1,15
448,70807,1,19
449,60803,2,33
450,03602,2,15
451,30412,1,6
452,95701,1,2
453,66834,1,15
454,50603,1,20
455,51002,1,31
456,27244,2,28
457,17931,1,20
458,67330,1,21
459,12009,1,30
460,62411,1,30
461,37301,3,18
462,95221,1,26
463,24517,1,28
464,72004,2,18
465,13302,1,26
466,53963,1,24
467,75925,1,20
468,62905,1,13
469,37324,1,14
470,51003,1,18
471,65606,1,15
472,03809,4,31
473,62002,2,47
474,78573,2,22
475,12910,1,20
476,61414,1,25
477,12910,1,30
478,35952,2,13
479,50009,1,31
480,54720,1,46
481,16601,4,56
482,66710,1,33
483,55910,1,35
484,96101,1,10
485,96101,1,20
486,73521,2,35
487,72821,2,13
488,15521,1,30
489,25003,3,25
490,33920,1,22
491,73717,1,30
492,56710,1,24
493,76009,1,22
494,42122,3,37
495,54542,1,12
496,51542,1,16
497,77511,3,66
498,76225,1,19
499,43501,1,30
500,72857,1,10
501,95642,8,50
502,11930,1,90
503,87512,2,19
504,52307,3,22
505,43102,1,32
506,89020,2,24
507,79101,13,279
508,49903,1,25
509,13110,1,28
510,73004,1,17
511,45237,1,23
512,56010,1,20
513,61310,1,45
514,46911,1,22
515,15003,1,22
516,58833,1,10
517,23002,5,125
518,12501,1,40
519,94503,2,25
520,83211,1,19
521,18232,1,35
522,17921,1,20
523,84003,2,73
524,17949,1,10
525,18252,1,60
526,45807,2,36
527,31709,3,49
528,54001,1,38
529,50010,3,55
530,73718,1,16
531,13317,1,23
532,45711,1,15
533,01913,2,34
534,44001,1,35
535,01002,2,103
536,03031,2,41
537,54406,1,35
538,79312,1,22
539,58620,1,32
540,20106,1,32
541,19518,1,28
542,97101,2,40
543,71921,1,24
544,11701,3,120
545,83406,1,40
546,28337,1,22
547,54874,0,22
548,46103,1,12
549,73722,1,20
550,38821,2,28
551,57313,1,34
552,12010,1,33
553,59741,1,18
554,64723,1,9
555,43903,1,12
556,15311,1,20
557,08551,1,39
558,71403,2,20
559,59711,1,10
560,98221,3,31
561,73005,2,22
562,92805,11,209
563,77514,1,25
564,58710,1,30
565,52205,1,33
566,24808,1,19
567,61720,1,17
568,99501,15,326
569,99519,2,60
570,40223,11,232
571,08037,1,8
572,36420,1,17
573,61232,2,21
574,77963,1,20
575,29624,3,59
576,29625,28,658
577,40342,5,75
578,66039,2,16
579,66032,9,112
580,37716,2,20
581,28390,1,40
582,64831,1,15
583,46016,7,109
584,99744,1,20
585,35610,1,15
586,96007,1,25
587,98303,1,48
588,45230,4,66
589,47586,2,38
590,27217,2,41
591,46156,1,25
592,95415,9,46
593,31711,1,17
594,37705,2,30
595,13731,1,44
596,07821,1,12
597,03216,1,11
598,55304,3,60
599,52701,1,20
600,04216,1,18
601,14806,1,56
602,01810,3,68
603,67002,1,30
604,07860,2,32
605,06232,1,44
606,57422,1,20
607,44003,1,35
608,18407,1,32
609,52030,1,25
610,28901,1,25
611,46702,1,15
612,79714,1,90
613,58212,1,16
614,87710,3,11
615,91733,2,90
616,75902,1,2
617,75951,2,14
618,95222,2,17
619,27501,1,49
620,77515,3,34
621,46703,1,33
622,14006,2,35
623,99557,1,12
624,88020,2,23
625,50020,1,30
626,50023,3,78
627,26323,1,15
628,48105,2,30
629,62906,1,17
630,45302,1,29
631,75409,1,25
632,55302,1,23
633,08801,2,38
634,21401,4,135
635,78380,3,53
636,61234,1,24
637,21108,31,1244
638,42754,1,19
639,36201,6,81
640,63820,1,12
641,55303,2,49
642,68814,2,30
643,54748,1,30
644,79501,1,25
645,06401,5,401
646,45303,1,25
647,25812,1,22
648,96107,2,15
649,51004,1,21
650,67003,1,25
651,24986,1,16
652,72376,1,14
653,17851,1,27
654,54409,2,27
655,43793,1,20
656,72012,1,21
657,36451,1,18
658,29020,1,13
659,29720,1,25
660,60002,3,87
661,27557,1,76
662,27863,1,20
663,31808,6,29
664,29702,1,20
665,58711,1,15
666,58711,1,25
667,74523,2,39
668,71922,1,11
669,99587,1,24
670,42431,1,16
671,63012,2,27
672,29620,1,26
673,43973,1,20
674,03440,2,20
675,45813,1,21
676,13608,1,25
677,73006,1,25
678,73006,1,39
679,13732,3,37
680,27502,6,112
681,50604,1,22
682,15613,1,25
683,32703,4,92
684,24216,1,26
685,44606,1,26
686,54001,1,30
687,61001,1,24
688,75926,1,19
689,84737,1,14
690,92307,5,49
691,97530,6,39
692,48401,1,21
693,64724,1,15
694,04862,1,20
695,54911,6,92
696,72802,1,15
697,36426,1,14
698,16201,1,19
699,31518,1,15
700,24522,1,33
701,07480,1,30
702,95003,3,35
703,13020,1,42
704,28128,3,50
705,18012,1,21
706,02535,1,12
707,35016,1,20
708,78336,1,16
709,73620,1,13
710,68922,1,29
711,28510,1,21
712,24053,2,26
713,28580,1,26
714,75482,1,8
715,08854,1,20
716,54568,1,40
717,95912,1,25
718,21227,1,100
719,63821,1,12
720,14009,1,76
721,63621,1,12
722,51430,1,23
723,91006,3,53
724,54612,1,30
725,48412,1,15
726,68815,1,30
727,49613,1,28
