Id,ZipCode,Longitude,Latitude,NumberOfBeds,TraumaLevel,HasHelipad
8237,36420,-86.49454911,31.29579533,88,3.0,True
8238,35611,-86.9784072099999,34.8041639300001,71,3.0,False
8239,36502,-87.47879851,31.0170238700001,51,3.0,True
8240,36117,-86.17493002,32.3763995,150,,True
8241,36111,-86.27754935,32.3281539500001,432,2.0,True
8242,36693,-88.17800813,30.6248084900001,60,,False
8243,36049,-86.26319151,31.69458855,28,,True
8244,35042,-87.14831123,32.95135837,35,,True
8245,35209,-86.7766650999999,33.46425993,595,3.0,True
8246,35401,-87.53815802,33.2163030900001,0,,False
8247,36089,-85.7170093299999,32.14663511,61,,False
8248,36083,-85.71214861,32.44521832,143,,True
8249,35233,-86.8051591399999,33.5040481500001,332,1.0,True
8250,36904,-88.20949244,32.0931053400001,25,,True
8251,35161,-86.0907834,33.4402768200001,122,3.0,True
8252,36251,-85.8239827799999,33.2775639400001,53,,True
8253,36078,-85.91224661,32.53390983,69,3.0,True
8254,35150,-86.25548758,33.1645602300001,168,3.0,False
8255,36049,-86.2650457,31.69354407,65,,True
8256,35801,-86.5721715399999,34.6936114000001,180,3.0,False
8257,36116,-86.28134483,32.32346327,60,,False
8258,35058,-86.80572957,34.2013272,150,3.0,True
8259,36427,-87.0734993,31.1270339100001,91,3.0,True
8260,36360,-85.63208804,31.4515766600001,89,3.0,True
8261,35401,-87.52741947,33.2048205300001,583,3.0,True
8262,35601,-86.9714815299999,34.59034409,273,3.0,True
8263,35601,-87.0158086599999,34.57689679,120,,False
8264,35601,-87.02541659,34.58368232,64,,False
8265,35968,-85.7562183699999,34.44127984,134,3.0,True
8266,36854,-85.16870267,32.8245981100001,115,,True
8267,36801,-85.4044747899999,32.63852487,314,3.0,True
8268,36526,-87.8951390999999,30.6352891500001,66,,False
8269,36092,-86.18639645,32.5522669700001,69,,True
8270,35209,-86.78833499,33.46911585,100,,False
8271,36301,-85.3658126299999,31.2179119100001,51,,True
8272,35903,-85.96848844,34.00674122,48,,True
8273,36116,-86.2807098,32.3191069800001,75,,False
8274,35801,-86.57986887,34.71920943,70,,True
8275,35124,-86.7988099999999,33.2832999,34,,False
8276,36401,-86.94048359,31.43079857,58,,True
8277,35555,-87.82468898,33.70817814,61,,True
8278,36305,-85.45704246,31.2374299900001,235,3.0,True
8279,35960,-85.65108878,34.1614583,60,,True
8280,35903,-85.9659821399999,34.0077362800001,346,3.0,True
8281,35243,-86.71744146,33.43293355,434,3.0,True
8282,35462,-87.8904834799999,32.84324894,20,,True
8283,36451,-87.7760246299999,31.6943023000001,50,3.0,True
8284,36744,-87.58693419,32.69537224,39,,False
8285,35660,-87.70026146,34.7459501500001,185,3.0,True
8286,35768,-86.0474907999999,34.6620379300001,170,3.0,True
8287,35212,-86.7301833,33.5488342800001,94,,False
8288,36925,-88.29552376,32.49199422,33,,False
8289,35801,-86.5808055099999,34.7214331000001,881,1.0,True
8290,36607,-88.08029057,30.6969006900001,31,,True
8291,36726,-87.30025784,31.9975251500001,30,,True
8292,36867,-85.00888474,32.50801426,70,,False
8293,36106,-86.2853855399999,32.366953,344,3.0,True
8294,36545,-87.89513456,31.53106846,35,3.0,True
8295,36853,-85.74113991,32.8185985700001,46,,True
8296,35565,-87.5913657999999,34.24191187,49,,True
8297,36301,-85.38460112,31.2038156400001,46,,False
8298,35650,-87.28531044,34.48341465,98,,True
8299,35758,-86.7645278799999,34.7470600400001,90,,False
8300,35976,-86.42135153,34.3649133500001,90,3.0,True
8301,35957,-86.1606281699999,34.2214658500001,150,3.0,True
8302,35402,-87.533981,33.2190660000001,96,,False
8303,36027,-85.1564054199999,31.8886450800001,74,3.0,True
8304,36330,-85.85536974,31.3187724000001,131,3.0,False
8305,35022,-86.99074849,33.3718483100001,310,3.0,True
8306,36467,-86.25452692,31.29195824,99,3.0,False
8307,36607,-88.07977619,30.6957249600001,681,3.0,True
8308,36460,-87.32076663,31.4978172,94,3.0,True
8309,35904,-86.0197660699999,34.07242575,68,,False
8310,36202,-85.82323962,33.6556551900001,38,3.0,True
8311,35261,-86.68602206,33.4149192100001,45,,False
8312,36302,-85.36294421,31.21628917,38,,False
8313,36106,-86.2857900499999,32.3669693300001,65,3.0,True
8314,35401,-87.52636438,33.2051744500001,32,,True
8315,35630,-87.65082721,34.8050981600001,263,3.0,True
8316,35611,-86.9788726,34.80424558,31,,True
8317,36507,-87.7850225,30.9039343600001,78,3.0,True
8318,35570,-87.9907687799999,34.1259771800001,49,,True
8319,36202,-85.82324214,33.65557526,338,3.0,True
8320,35476,-87.5709108999999,33.23398145,204,,False
8321,35594,-87.82452474,33.93053767,49,3.0,True
8322,36067,-86.45225293,32.46389172,107,,False
8323,35211,-86.84718778,33.4980065300001,505,3.0,True
8324,36685,-88.1990793699999,30.6793276600001,349,3.0,True
8325,35582,-88.14732506,34.45810576,25,,True
8326,36037,-86.6463641999999,31.8290344000001,72,3.0,True
8327,36867,-85.04640733,32.49884817,58,,False
8328,35901,-86.00342706,34.00432554,281,3.0,True
8329,35010,-85.9695661499999,32.93021327,81,3.0,True
8330,35653,-87.71838607,34.5108181200001,100,3.0,True
8331,35209,-86.77625339,33.4637309400001,38,3.0,True
8332,35007,-86.8130430099999,33.2523648700001,252,3.0,True
8333,35661,-87.67621342,34.7471929600001,198,,True
8334,36535,-87.6846856499999,30.42583568,112,3.0,True
8335,36301,-85.36363112,31.21630365,420,2.0,True
8336,36608,-88.13133629,30.6845174900001,263,3.0,True
8337,35205,-86.78912153,33.5074771700001,409,3.0,False
8338,35121,-86.4941186299999,33.92965073,40,,True
8339,35046,-86.62279,32.8802860000001,30,,True
8340,35235,-86.66761102,33.59615452,362,3.0,True
8341,35125,-86.30223929,33.6039924200001,40,,True
8342,36207,-85.82371273,33.6682359000001,125,3.0,False
8343,36278,-85.480689,33.295332,15,,True
8344,36532,-87.88944744,30.5188790300001,176,3.0,False
8345,36784,-87.745143,31.8761846,29,,
8346,36081,-85.94556625,31.7815156500001,97,3.0,True
8347,35404,-87.48831785,33.1899356700001,0,,False
8348,35233,-86.80289191,33.5040061,106,,True
8349,35806,-86.66569635,34.75317024,20,,False
8350,35233,-86.8020354,33.5056032900001,1157,1.0,True
8351,36604,-88.0778076399999,30.6976838200001,152,3.0,True
8352,36617,-88.09833486,30.70706198,406,1.0,True
8353,36701,-87.05597305,32.42946521,175,,True
8354,35502,-87.2359995799999,33.8427289000001,267,3.0,True
8355,36518,-88.23507989,31.4595381500001,25,,True
8356,36732,-87.8363988,32.50478853,99,3.0,True
8357,36340,-85.89253669,31.04879399,83,,True
8358,99508,-149.82898817,61.21073914,250,,True
8359,99801,-134.46515263,58.32907951,73,,True
8360,99669,-151.07782696,60.4931690500001,49,2.0,True
8361,99701,-147.73939282,64.8317447100001,152,,True
8362,99645,-149.25831116,61.56289358,125,,True
8363,99654,-149.4270914,61.5864231,0,,False
8364,99508,-149.8199587,61.1887628800001,401,3.0,True
8365,99503,-149.88011561,61.1764109900001,56,,False
8366,99508,-149.82980155,61.1850968000001,80,,False
8367,99508,-149.83348441,61.2079072000001,74,,False
8368,99508,-149.80975832,61.20563044,36,,False
8369,99508,-149.8317182,61.2081495,30,,False
8370,99574,-145.75064915,60.5412547700001,23,,True
8371,99576,-158.5355047,59.0000942,16,,False
8372,99901,-131.68578842,55.3537186900001,25,,False
8373,99762,-165.37840769,64.49950291,18,,False
8374,99833,-132.95520506,56.8128840800001,12,,False
8375,99615,-152.37560773,57.8008999800001,25,,False
8376,99664,-149.44642548,60.1050201100001,6,,True
8377,99686,-146.34655167,61.13653378,11,,True
8378,99723,-156.72903697,71.29772504,10,,False
8379,99603,-151.55012983,59.65247012,22,,True
8380,99929,-132.3758039,56.47178239,8,,False
8381,99588,-145.540928,62.108932,4,,False
8382,99685,-166.5393244,53.8722442000001,4,,False
8383,96799,-170.685741,-14.290242,150,,False
8384,85297,-111.75197649,33.2872664500001,22,,True
8385,85541,-111.32065115,34.23007678,25,,True
8386,85602,-110.3081187,31.96510498,22,,True
8387,85501,-110.82640787,33.4060443600001,25,,True
8388,85603,-109.88302823,31.4178109600001,14,,True
8389,86042,-110.42669889,35.8021344000001,0,,True
8390,85621,-110.95974713,31.3402868800001,25,,True
8391,85344,-114.28521966,34.1364324800001,25,,True
8392,86047,-110.69250885,35.0358076900001,25,,True
8393,86505,-109.54355573,35.7107458200001,25,,False
8394,85643,-109.83814424,32.2649674,24,,True
8395,86040,-111.46358713,36.91764799,25,,True
8396,85938,-109.28525796,34.13173504,21,,False
8397,85390,-112.73993184,33.9783637400001,19,,True
8398,85710,-110.83808282,32.2312412000001,34,,False
8399,85378,-112.341321,33.6393944000001,13,,False
8400,85203,-111.82208245,33.42548358,48,,True
8401,85013,-112.07999224,33.48214432,48,,True
8402,85006,-112.06017578,33.4639159500001,32,,True
8403,85711,-110.85851627,32.22564684,51,,False
8404,85713,-110.96493489,32.18123222,0,,True
8405,85008,-112.02934361,33.4550443800001,143,,False
8406,85008,-112.02809075,33.45342284,159,,False
8407,85302,-112.18937168,33.5812353100001,100,,False
8408,85283,-111.93913469,33.3642810100001,138,,False
8409,85374,-112.38116229,33.63441097,32,,False
8410,85251,-111.91887885,33.48320442,156,,False
8411,85929,-109.97538595,34.1652321,16,,False
8412,85297,-111.750194,33.2821941,72,,False
8413,85392,-112.28768324,33.4652729200001,72,,False
8414,85712,-110.8556645,32.2398469,54,,False
8415,85378,-112.34380725,33.64112837,99,,False
8416,86004,-111.60649395,35.20669667,16,,False
8417,85007,-112.08117563,33.4356313500001,57,,False
8418,85225,-111.84738448,33.3402740600001,94,,False
8419,85712,-110.87611878,32.25593768,84,,False
8420,85006,-112.05282546,33.4660456400001,96,,False
8421,85027,-112.11384238,33.6778566300001,116,,False
8422,85704,-111.0073363,32.31676456,140,,False
8423,85006,-112.04204647,33.4549441500001,127,,True
8424,85007,-112.0840587,33.4346887,40,,False
8425,86429,-114.528661,35.186387,24,,False
8426,85018,-112.00597019,33.48286813,122,,False
8427,86314,-112.32766139,34.59050187,16,,True
8428,85006,-112.063426,33.4633930000001,56,,False
8429,85381,-112.26179888,33.60420695,56,,False
8430,85378,-112.34113547,33.63931726,27,,False
8431,85224,-111.8686893,33.305529,50,,False
8432,85206,-111.70987496,33.37995297,60,,False
8433,85704,-111.00846929,32.3185910300001,60,,True
8434,85260,-111.87281182,33.5830879000001,60,,False
8435,85712,-110.88296381,32.2559568500001,80,,False
8436,85304,-112.20389582,33.60780443,75,,False
8437,85258,-111.89026145,33.56112225,50,,False
8438,86409,-113.98571896,35.2190708300001,18,,True
8439,86314,-112.32841054,34.5961893300001,44,,False
8440,86001,-111.63041947,35.21008656,40,,False
8441,85364,-114.63004394,32.68332744,51,,False
8442,85016,-112.03966773,33.4808672300001,59,,True
8443,85308,-112.20158176,33.6550542000001,217,,True
8444,85331,-111.96854787,33.7986857400001,0,,False
8445,85015,-112.10218155,33.52481593,206,,True
8446,85206,-111.7082731,33.380214,8,,False
8447,85032,-111.99746997,33.6397581800001,120,3.0,True
8448,85374,-112.4206714,33.6374373,8,,False
8449,85395,-112.35340015,33.4615884500001,200,1.0,True
8450,85206,-111.73480037,33.38030393,23,,False
8451,85006,-112.05738174,33.46442144,766,1.0,True
8452,85724,-110.94630651,32.2419737700001,625,1.0,True
8453,85206,-111.68799961,33.4110054000001,359,3.0,True
8454,85351,-112.28366707,33.60423473,410,,True
8455,85122,-111.71074859,32.88115523,141,,True
8456,85375,-112.37250587,33.6596894300001,391,3.0,True
8457,85202,-111.87756751,33.3894771600001,605,1.0,True
8458,85037,-112.25779128,33.4786071400001,317,,True
8459,85234,-111.72300023,33.38475362,177,,True
8460,85120,-111.5671567,33.39427956,20,,True
8461,85286,-111.85675526,33.28557024,94,,True
8462,85206,-111.68649231,33.4116920700001,111,,True
8463,85140,-111.56559085,33.2144353800001,89,,True
8464,85306,-112.17968539,33.6083543,595,1.0,True
8465,85713,-110.93069873,32.1758547000001,245,,True
8466,85635,-110.22977963,31.5524178000001,100,3.0,True
8467,85742,-111.08531186,32.3609004300001,8,1.0,False
8468,85015,-112.09911252,33.532134,28,,False
8469,85941,-109.95906629,33.8765490000001,0,,True
8470,86503,-109.6081006,36.1576028600001,0,,False
8471,85224,-111.87461186,33.29739077,429,1.0,True
8472,85339,-112.1670055,33.3802854,16,,False
8473,85212,-111.63696248,33.35075182,50,,True
8474,86001,-111.6439482,35.20964623,268,1.0,True
8475,85132,-111.48568867,33.07313487,36,,True
8476,86504,-109.04848784,35.75930577,0,,True
8477,85251,-111.92555162,33.4901910400001,26,,False
8478,86403,-114.33878975,34.4804539900001,152,3.0,True
8479,85085,-112.13035843,33.7855884300001,70,,True
8480,85027,-112.11606718,33.6661282700001,204,1.0,True
8481,85020,-112.07077104,33.56914841,262,1.0,True
8482,85251,-111.92296685,33.4883938500001,325,1.0,True
8483,85260,-111.88518409,33.58083809,427,,True
8484,85255,-111.9223224,33.67112932,120,,True
8485,86409,-114.03697743,35.2200708400001,235,,True
8486,85054,-111.95644824,33.6590826300001,316,,True
8487,85297,-111.75243904,33.2868555800001,197,,True
8488,85209,-111.61116328,33.3914970700001,178,3.0,True
8489,85546,-109.73515724,32.82275472,25,,True
8490,85741,-112.29846083,33.60904041,300,,False
8491,85629,-110.98527679,31.95586934,18,,True
8492,85008,-111.99661459,33.4566498300001,64,,False
8493,85755,-110.94877018,32.4290227600001,146,,True
8494,85224,-111.89128381,33.3338859900001,24,,False
8495,85248,-111.88207143,33.2609327000001,3,,False
8496,85542,-110.41787595,33.2957575300001,0,,True
8497,85614,-111.00990386,31.8067235400001,49,,True
8498,85711,-110.85512155,32.2265061300001,486,3.0,True
8499,85307,-112.27553187,33.54242652,23,,True
8500,85006,-112.0422176,33.45477758,219,,True
8501,85013,-112.07940279,33.48097074,586,1.0,True
8502,85745,-111.00017368,32.2281177300001,400,,True
8503,85901,-110.01770074,34.20249383,101,,True
8504,85281,-111.9406125,33.4125968600001,74,,True
8505,85712,-110.88449797,32.2487826500001,16,,False
8506,85634,-111.89048857,31.91850571,0,,True
8507,86045,-111.23730391,36.1357736100001,0,,True
8508,85711,-110.8948742,32.2221731000001,4,,False
8509,85712,-110.87929885,32.2523042500001,596,,True
8510,86426,-114.59639772,35.00223558,84,,True
8511,85008,-112.02641296,33.4578471,758,1.0,True
8512,86326,-112.0295646,34.7353596400001,98,,True
8513,86442,-114.5550477,35.1108471700001,139,,True
8514,85338,-112.36440187,33.4538635800001,38,,False
8515,86301,-112.48127115,34.5602200500001,146,,True
8516,86314,-112.33037981,34.5905394500001,72,,True
8517,85364,-114.63538324,32.6827470900001,405,,True
8518,85006,-112.05699762,33.4628877600001,0,,True
8519,85724,-110.94685512,32.24135269,0,,True
8520,72042,-91.33823119,34.27979487,25,,True
8521,71635,-91.9387990499999,33.13845416,33,,True
8522,72653,-92.3965442099999,36.34210333,268,3.0,True
8523,72758,-94.1461075999999,36.2785567,36,,False
8524,72758,-94.18297802,36.30899285,275,3.0,True
8525,72712,-94.1913569,36.3399063300001,128,3.0,True
8526,72736,-94.45911011,36.40858329,25,,True
8527,72761,-94.50765532,36.1897842700001,73,,True
8528,72601,-93.10913937,36.2365313600001,174,3.0,True
8529,71671,-92.05925489,33.6103641300001,33,,True
8530,72632,-93.7442359199999,36.4001637900001,15,,True
8531,72616,-93.5518257699999,36.3590621000001,25,,True
8532,71653,-91.2903315999999,33.3147629000001,10,,False
8533,71923,-93.0888241599999,34.12291357,25,,True
8534,72454,-90.20483796,36.3901194700001,25,,True
8535,72543,-91.9979984999999,35.5045011300001,25,,True
8536,71753,-93.23913276,33.27419818,49,,True
8537,72110,-92.7213513199999,35.1680149100001,25,,True
8538,72401,-90.666568,35.808393,99,,True
8539,72401,-90.6930359099999,35.8326775,80,,False
8540,72405,-90.6365143099999,35.8668293700001,228,3.0,True
8541,72401,-90.70261858,35.8364980200001,378,3.0,True
8542,72405,-90.66978926,35.85221482,62,,False
8543,72956,-94.3387977099999,35.43540066,103,,True
8544,72301,-90.17783336,35.16795985,11,,True
8545,72396,-90.78664054,35.2195579200001,25,,True
8546,71742,-92.4255876399999,33.81085539,25,,True
8547,71639,-91.48036852,33.8732016700001,25,,True
8548,71654,-91.39227634,33.6184553200001,25,,True
8549,72032,-92.4195706199999,35.05671664,111,3.0,True
8550,72034,-92.42399239,35.0381092800001,80,,False
8551,72034,-92.4578835999999,35.08566805,150,3.0,True
8552,72034,-92.4556860499999,35.08929113,26,,False
8553,72949,-93.83344375,35.4858200100001,25,,True
8554,72576,-91.81030795,36.3829008800001,25,,True
8555,71913,-93.06627041,34.46802567,282,2.0,True
8556,71913,-93.0749322299999,34.4642512300001,48,,False
8557,71913,-93.0672341,34.4680542200001,27,,True
8558,71901,-93.05757749,34.5098970700001,50,,False
8559,71901,-93.0353852699999,34.48610511,163,,True
8560,72450,-90.4984570399999,36.0519443100001,129,,True
8561,71801,-93.58441613,33.64817908,48,,True
8562,72104,-92.84270041,34.3448684700001,28,,False
8563,72104,-92.7858884,34.3587740400001,72,,True
8564,71852,-93.8805491799999,33.94972276,20,,True
8565,72501,-91.63459098,35.7678692600001,224,3.0,True
8566,72519,-92.12808717,36.1267768500001,25,,False
8567,72112,-91.2650600599999,35.60856885,133,,True
8568,71603,-92.0176802,34.1877346900001,300,3.0,True
8569,72830,-93.44408063,35.46157579,90,,True
8570,72476,-90.96782345,36.0737585000001,25,,True
8571,71822,-94.13485202,33.6692528200001,25,,False
8572,72927,-93.93517063,35.1403219200001,25,,True
8573,72855,-93.72487855,35.28929334,16,,True
8574,72023,-92.0347837,34.9816286000001,4,,False
8575,71854,-94.0340908699999,33.4610700200001,62,,False
