Id,ZipCode,Longitude,Latitude,FullTimeOfficers,PartTimeOfficers,TotalActiveOfficers
133,62017,-89.3908362,39.0905236,1,0,1
134,83254,-111.3020029,42.3180308,5,1,6
135,62546,-89.45505034,39.41994775,1,4,5
136,83226,-114.2307778,44.5049624,8,0,8
137,46124,-85.9681387,39.3529001,10,0,10
138,47424,-86.9283571,39.0244697,14,0,14
139,47112,-86.12753156,38.21100659,7,0,7
140,46030,-86.0236532,40.1760086,4,0,4
141,61953,-88.29122679,39.79104832,13,4,17
142,83263,-111.8780961,42.0958564,10,0,10
143,83852,-116.5470362,48.3046016,6,0,6
144,83263,-111.8784378,42.0965277,6,0,6
145,47025,-84.8509589,39.0910259,29,0,29
146,61102,-89.1000575,42.2725417,142,30,172
147,61462,-90.6491129,40.9129262,14,4,18
148,48420,-83.7402461,43.1768884,5,4,9
149,42211,-87.83677866,36.86302725,9,0,9
150,47448,-86.2437432,39.2016254,13,11,24
151,49935,-88.63930817,46.09178301,7,0,7
152,49341,-85.5587864,43.1196111,10,4,14
153,49345,-85.7164927,43.1603398,5,7,12
154,42206,-86.70953075,36.86318275,2,0,2
155,40361,-84.24990077,38.21315903,5,0,5
156,41073,-84.47868106,39.10623219,9,0,9
157,67526,-98.58415723,38.35453316,5,2,7
158,67456,-97.67313073,38.57321705,6,0,6
159,42754,-86.2935918,37.4790474,13,1,14
160,42721,-86.48580273,37.4243693,1,0,1
161,67665,-98.8565123,38.89332231,8,1,9
162,67460,-97.6841505,38.3730374,27,1,28
163,42064,-88.082055,37.331364,6,0,6
164,41015,-84.4985228,39.0157961,10,0,10
165,42726,-86.2222785,37.49490255,1,0,1
166,41501,-82.51863354,37.48075071,21,0,21
167,66202,-94.69,39.0176903,28,0,28
168,40403,-84.294499,37.569845,30,0,30
169,67133,-97.1364276,37.5771843,9,0,9
170,66219,-94.7814153,38.9856611,18,0,18
171,67801,-100.0175459,37.7547591,49,0,49
172,67019,-96.7536778,37.3151704,1,3,4
173,42261,-86.68957303,37.22155772,6,2,8
174,42262,-87.433003,36.64119,14,0,14
175,40155,-85.99201208,37.93814261,3,0,3
176,41472,-83.256204,37.9209485,3,0,3
177,42167,-85.69220734,36.70075412,2,0,2
178,21842,-75.0672419,38.3882608,107,17,124
179,40165,-85.71610959,37.98806324,40,3,43
180,42728,-85.30606668,37.1028062,6,0,6
181,04543,-69.51890748,44.03372624,5,10,15
182,04401,-68.7729057,44.7971333,75,0,75
183,46017,-85.59950891,40.11292736,6,1,7
184,48381,-83.5880265,42.5867308,19,0,19
185,67736,-100.4881664,38.95817927,4,0,4
186,48084,-83.1555044,42.5640507,129,0,129
187,48375,-83.4853556,42.4648495,70,0,70
188,48416,-82.98770211,43.21175087,2,0,2
189,48471,-82.8308571,43.4193697,5,3,8
190,04769,-68.0078071,46.6887592,19,0,19
191,04101,-70.2521783,43.6593439,159,0,159
192,04038,-70.429225,43.684916,23,0,23
193,48117,-83.39168852,42.05900444,3,8,11
194,48618,-84.58751857,43.75718285,1,5,6
195,49329,-85.4687623,43.3959999,2,1,3
196,48850,-85.2786904,43.4429578,2,3,5
197,49441,-86.2631587,43.1648485,28,0,28
198,49441,-86.2652924,43.2006649,6,5,11
199,48413,-82.997177,43.8018783,9,7,16
200,49001,-85.5816258,42.27968,244,0,244
201,40440,-84.794267,37.5862016,3,1,4
202,48849,-85.1384947,42.7808706,4,4,8
203,40472,-83.9538579,37.6850476,2,0,2
204,48457,-83.8934248,43.166519,8,0,8
205,62919,-88.1665069,37.4681209,1,1,2
206,42348,-86.75214175,37.90303568,1,0,1
207,40336,-83.97636812,37.70086271,6,1,7
208,40222,-85.6143994,38.2713443,2,4,6
209,49201,-84.4229063,42.2915235,28,0,28
210,49284,-84.6969721,42.37863394,2,3,5
211,49004,-85.5708173,42.3202471,3,6,9
212,41076,-84.42843955,39.01890791,12,0,12
213,67107,-97.5193459,38.2012866,3,2,5
214,41074,-84.4734676,39.1124093,7,0,7
215,48161,-83.39783382,41.91368626,40,0,40
216,41144,-82.8316097,38.5740983,3,0,3
217,41139,-82.72463275,38.51527777,10,0,10
218,42437,-87.91650782,37.68346008,7,1,8
219,42437,-87.9173588,37.6837859,7,0,7
220,66441,-96.7972772,39.0316362,6,2,8
221,66603,-95.6703397,39.0549283,112,0,112
222,41056,-83.76113954,38.64560731,23,1,24
