GeoID,ZipCode,MeanIncome
860Z200US00601,00601,24781.0
860Z200US00602,00602,30378.0
860Z200US00603,00603,32478.0
860Z200US00606,00606,25125.0
860Z200US00610,00610,34513.0
860Z200US00611,00611,33960.0
860Z200US00612,00612,34627.0
860Z200US00616,00616,29509.0
860Z200US00617,00617,34219.0
860Z200US00622,00622,39075.0
860Z200US00623,00623,37880.0
860Z200US00624,00624,31242.0
860Z200US00627,00627,34922.0
860Z200US00631,00631,22987.0
860Z200US00636,00636,21053.0
860Z200US00637,00637,34908.0
860Z200US00638,00638,26181.0
860Z200US00641,00641,24948.0
860Z200US00646,00646,59618.0
860Z200US00647,00647,25504.0
860Z200US00650,00650,25563.0
860Z200US00652,00652,39765.0
860Z200US00653,00653,21532.0
860Z200US00656,00656,29752.0
860Z200US00659,00659,38490.0
860Z200US00660,00660,35910.0
860Z200US00662,00662,30858.0
860Z200US00664,00664,24418.0
860Z200US00667,00667,25516.0
860Z200US00669,00669,26723.0
860Z200US00670,00670,22195.0
860Z200US00674,00674,34081.0
860Z200US00676,00676,36183.0
860Z200US00677,00677,38258.0
860Z200US00678,00678,28997.0
860Z200US00680,00680,29711.0
860Z200US00682,00682,36796.0
860Z200US00683,00683,28310.0
860Z200US00685,00685,27775.0
860Z200US00687,00687,31292.0
860Z200US00688,00688,31917.0
860Z200US00690,00690,31829.0
860Z200US00692,00692,43165.0
860Z200US00693,00693,38194.0
860Z200US00694,00694,54779.0
860Z200US00698,00698,30886.0
860Z200US00703,00703,33292.0
860Z200US00704,00704,30961.0
860Z200US00705,00705,31923.0
860Z200US00707,00707,26225.0
860Z200US00714,00714,31680.0
860Z200US00715,00715,22027.0
860Z200US00716,00716,37136.0
860Z200US00717,00717,25078.0
860Z200US00718,00718,28244.0
860Z200US00719,00719,30704.0
860Z200US00720,00720,26064.0
860Z200US00723,00723,29377.0
860Z200US00725,00725,45187.0
860Z200US00727,00727,54054.0
860Z200US00728,00728,32524.0
860Z200US00729,00729,44188.0
860Z200US00730,00730,30387.0
860Z200US00731,00731,29541.0
860Z200US00735,00735,32707.0
860Z200US00736,00736,41843.0
860Z200US00738,00738,35919.0
860Z200US00739,00739,38795.0
860Z200US00740,00740,26085.0
860Z200US00741,00741,31950.0
860Z200US00745,00745,37732.0
860Z200US00751,00751,28486.0
860Z200US00754,00754,31909.0
860Z200US00757,00757,38410.0
860Z200US00765,00765,22473.0
860Z200US00766,00766,36671.0
860Z200US00767,00767,27949.0
860Z200US00769,00769,30232.0
860Z200US00771,00771,38491.0
860Z200US00772,00772,26587.0
860Z200US00773,00773,33949.0
860Z200US00775,00775,39570.0
860Z200US00777,00777,37409.0
860Z200US00778,00778,64024.0
860Z200US00780,00780,44595.0
860Z200US00782,00782,26635.0
860Z200US00783,00783,33728.0
860Z200US00784,00784,30570.0
860Z200US00786,00786,
860Z200US00791,00791,41287.0
860Z200US00794,00794,32452.0
860Z200US00795,00795,33216.0
860Z200US00901,00901,76071.0
860Z200US00906,00906,127357.0
860Z200US00907,00907,97867.0
860Z200US00909,00909,51362.0
860Z200US00911,00911,103478.0
860Z200US00912,00912,47451.0
860Z200US00913,00913,38330.0
860Z200US00915,00915,23433.0
860Z200US00917,00917,32348.0
860Z200US00918,00918,70182.0
860Z200US00920,00920,44149.0
860Z200US00921,00921,35813.0
860Z200US00923,00923,30843.0
860Z200US00924,00924,33513.0
860Z200US00925,00925,25039.0
860Z200US00926,00926,64994.0
860Z200US00927,00927,77900.0
860Z200US00934,00934,
860Z200US00949,00949,43643.0
860Z200US00950,00950,
860Z200US00951,00951,25575.0
860Z200US00952,00952,29787.0
860Z200US00953,00953,48394.0
860Z200US00956,00956,39660.0
860Z200US00957,00957,39666.0
860Z200US00959,00959,43291.0
860Z200US00960,00960,
860Z200US00961,00961,55513.0
860Z200US00962,00962,28656.0
860Z200US00965,00965,25428.0
860Z200US00966,00966,101148.0
860Z200US00968,00968,98683.0
860Z200US00969,00969,88045.0
860Z200US00971,00971,50373.0
860Z200US00976,00976,53774.0
860Z200US00979,00979,61145.0
860Z200US00982,00982,33754.0
860Z200US00983,00983,45281.0
860Z200US00985,00985,42237.0
860Z200US00987,00987,54024.0
860Z200US01001,01001,98266.0
860Z200US01002,01002,111345.0
860Z200US01003,01003,169656.0
860Z200US01005,01005,106114.0
860Z200US01007,01007,113840.0
860Z200US01008,01008,103165.0
860Z200US01009,01009,78669.0
860Z200US01010,01010,135647.0
860Z200US01011,01011,98070.0
860Z200US01012,01012,81734.0
860Z200US01013,01013,81475.0
860Z200US01020,01020,83762.0
860Z200US01022,01022,60798.0
860Z200US01026,01026,104551.0
860Z200US01027,01027,94456.0
860Z200US01028,01028,137691.0
860Z200US01029,01029,147314.0
860Z200US01030,01030,119591.0
860Z200US01031,01031,84606.0
860Z200US01032,01032,87338.0
860Z200US01033,01033,147068.0
860Z200US01034,01034,131991.0
860Z200US01035,01035,142732.0
860Z200US01036,01036,127702.0
860Z200US01037,01037,106072.0
860Z200US01038,01038,136499.0
