Measure,ZipCode,Ratio,TotalPopulation
Depression among adults,15732,0.24,1557
Obesity among adults,15732,0.394,1557
Current asthma among adults,15733,0.107,91
Visits to doctor for routine checkup within the past year among adults,15733,0.758,91
Depression among adults,15733,0.243,91
Obesity among adults,15733,0.356,91
Current asthma among adults,15734,0.118,295
Visits to doctor for routine checkup within the past year among adults,15734,0.788,295
Depression among adults,15734,0.254,295
Obesity among adults,15734,0.406,295
Current asthma among adults,15736,0.1,397
Visits to doctor for routine checkup within the past year among adults,15736,0.818,397
Depression among adults,15736,0.217,397
Obesity among adults,15736,0.349,397
Current asthma among adults,15737,0.108,190
Visits to doctor for routine checkup within the past year among adults,15737,0.795,190
Depression among adults,15737,0.248,190
Obesity among adults,15737,0.381,190
Current asthma among adults,15738,0.097,265
Visits to doctor for routine checkup within the past year among adults,15738,0.803,265
Depression among adults,15738,0.221,265
Obesity among adults,15738,0.362,265
Current asthma among adults,15739,0.118,417
Visits to doctor for routine checkup within the past year among adults,15739,0.763,417
Depression among adults,15739,0.267,417
Obesity among adults,15739,0.41,417
Current asthma among adults,15741,0.13,57
Visits to doctor for routine checkup within the past year among adults,15741,0.797,57
Depression among adults,15741,0.289,57
Obesity among adults,15741,0.403,57
Current asthma among adults,15742,0.121,990
Visits to doctor for routine checkup within the past year among adults,15742,0.779,990
Depression among adults,15742,0.257,990
Obesity among adults,15742,0.405,990
Current asthma among adults,15744,0.122,74
Visits to doctor for routine checkup within the past year among adults,15744,0.777,74
Depression among adults,15744,0.271,74
Obesity among adults,15744,0.345,74
Current asthma among adults,15745,0.111,327
Visits to doctor for routine checkup within the past year among adults,15745,0.781,327
Depression among adults,15745,0.248,327
Obesity among adults,15745,0.392,327
Current asthma among adults,15746,0.135,195
Visits to doctor for routine checkup within the past year among adults,15746,0.783,195
Depression among adults,15746,0.28,195
Obesity among adults,15746,0.413,195
Current asthma among adults,15747,0.118,1970
Visits to doctor for routine checkup within the past year among adults,15747,0.798,1970
Depression among adults,15747,0.248,1970
Obesity among adults,15747,0.413,1970
Current asthma among adults,15748,0.112,6661
Visits to doctor for routine checkup within the past year among adults,15748,0.796,6661
Depression among adults,15748,0.239,6661
Obesity among adults,15748,0.389,6661
Current asthma among adults,15750,0.112,285
Visits to doctor for routine checkup within the past year among adults,15750,0.816,285
Depression among adults,15750,0.227,285
Obesity among adults,15750,0.401,285
Current asthma among adults,15752,0.111,63
Visits to doctor for routine checkup within the past year among adults,15752,0.759,63
Depression among adults,15752,0.251,63
Obesity among adults,15752,0.393,63
Current asthma among adults,15753,0.119,514
Visits to doctor for routine checkup within the past year among adults,15753,0.788,514
Depression among adults,15753,0.257,514
Obesity among adults,15753,0.393,514
Current asthma among adults,15754,0.113,498
Visits to doctor for routine checkup within the past year among adults,15754,0.789,498
Depression among adults,15754,0.245,498
Obesity among adults,15754,0.377,498
Current asthma among adults,15756,0.107,213
Visits to doctor for routine checkup within the past year among adults,15756,0.791,213
Depression among adults,15756,0.236,213
Obesity among adults,15756,0.398,213
Current asthma among adults,15757,0.11,1497
Visits to doctor for routine checkup within the past year among adults,15757,0.798,1497
Depression among adults,15757,0.24,1497
Obesity among adults,15757,0.378,1497
Current asthma among adults,15759,0.117,2661
Visits to doctor for routine checkup within the past year among adults,15759,0.792,2661
Depression among adults,15759,0.25,2661
Obesity among adults,15759,0.409,2661
Current asthma among adults,15760,0.113,119
Visits to doctor for routine checkup within the past year among adults,15760,0.811,119
Depression among adults,15760,0.249,119
Obesity among adults,15760,0.4,119
Current asthma among adults,15761,0.101,74
Visits to doctor for routine checkup within the past year among adults,15761,0.774,74
Depression among adults,15761,0.224,74
Obesity among adults,15761,0.39,74
Current asthma among adults,15762,0.112,875
Visits to doctor for routine checkup within the past year among adults,15762,0.806,875
Depression among adults,15762,0.253,875
Obesity among adults,15762,0.367,875
Current asthma among adults,15764,0.1,136
Visits to doctor for routine checkup within the past year among adults,15764,0.828,136
Depression among adults,15764,0.213,136
Obesity among adults,15764,0.358,136
Current asthma among adults,15765,0.112,1549
Visits to doctor for routine checkup within the past year among adults,15765,0.806,1549
Depression among adults,15765,0.233,1549
Obesity among adults,15765,0.404,1549
Current asthma among adults,15767,0.113,14501
Visits to doctor for routine checkup within the past year among adults,15767,0.785,14501
Depression among adults,15767,0.252,14501
Obesity among adults,15767,0.363,14501
Current asthma among adults,15770,0.115,219
Visits to doctor for routine checkup within the past year among adults,15770,0.798,219
Depression among adults,15770,0.253,219
Obesity among adults,15770,0.364,219
Current asthma among adults,15771,0.122,898
Visits to doctor for routine checkup within the past year among adults,15771,0.794,898
Depression among adults,15771,0.257,898
Obesity among adults,15771,0.418,898
Current asthma among adults,15772,0.12,1605
Visits to doctor for routine checkup within the past year among adults,15772,0.786,1605
Depression among adults,15772,0.253,1605
Obesity among adults,15772,0.41,1605
Current asthma among adults,15773,0.099,410
Visits to doctor for routine checkup within the past year among adults,15773,0.787,410
Depression among adults,15773,0.227,410
Obesity among adults,15773,0.35,410
Current asthma among adults,15774,0.107,2985
Visits to doctor for routine checkup within the past year among adults,15774,0.799,2985
Depression among adults,15774,0.23,2985
Obesity among adults,15774,0.381,2985
Current asthma among adults,15775,0.12,410
Visits to doctor for routine checkup within the past year among adults,15775,0.8,410
Depression among adults,15775,0.277,410
Obesity among adults,15775,0.396,410
Current asthma among adults,15776,0.123,62
Visits to doctor for routine checkup within the past year among adults,15776,0.797,62
Depression among adults,15776,0.275,62
Obesity among adults,15776,0.357,62
Current asthma among adults,15777,0.112,118
Visits to doctor for routine checkup within the past year among adults,15777,0.808,118
Depression among adults,15777,0.249,118
Obesity among adults,15777,0.41,118
Current asthma among adults,15778,0.109,135
Visits to doctor for routine checkup within the past year among adults,15778,0.767,135
Depression among adults,15778,0.244,135
Obesity among adults,15778,0.339,135
Current asthma among adults,15779,0.098,399
Visits to doctor for routine checkup within the past year among adults,15779,0.754,399
Depression among adults,15779,0.224,399
Obesity among adults,15779,0.363,399
Current asthma among adults,15780,0.102,123
Visits to doctor for routine checkup within the past year among adults,15780,0.795,123
Depression among adults,15780,0.226,123
Obesity among adults,15780,0.364,123
Current asthma among adults,15781,0.115,107
Visits to doctor for routine checkup within the past year among adults,15781,0.827,107
Depression among adults,15781,0.247,107
Obesity among adults,15781,0.379,107
Current asthma among adults,15783,0.108,103
Visits to doctor for routine checkup within the past year among adults,15783,0.787,103
Depression among adults,15783,0.238,103
Obesity among adults,15783,0.4,103
Current asthma among adults,15784,0.114,80
Visits to doctor for routine checkup within the past year among adults,15784,0.802,80
Depression among adults,15784,0.242,80
Obesity among adults,15784,0.373,80
Current asthma among adults,15801,0.104,20246
Visits to doctor for routine checkup within the past year among adults,15801,0.798,20246
Depression among adults,15801,0.226,20246
Obesity among adults,15801,0.34,20246
Current asthma among adults,15821,0.109,147
Visits to doctor for routine checkup within the past year among adults,15821,0.837,147
Depression among adults,15821,0.226,147
Obesity among adults,15821,0.389,147
Current asthma among adults,15823,0.108,1370
Visits to doctor for routine checkup within the past year among adults,15823,0.785,1370
Depression among adults,15823,0.239,1370
Obesity among adults,15823,0.371,1370
Current asthma among adults,15824,0.112,5370
Visits to doctor for routine checkup within the past year among adults,15824,0.789,5370
Depression among adults,15824,0.248,5370
Obesity among adults,15824,0.35,5370
Current asthma among adults,15825,0.108,9629
Visits to doctor for routine checkup within the past year among adults,15825,0.795,9629
Depression among adults,15825,0.238,9629
Obesity among adults,15825,0.343,9629
Current asthma among adults,15827,0.111,259
Visits to doctor for routine checkup within the past year among adults,15827,0.778,259
Depression among adults,15827,0.249,259
Obesity among adults,15827,0.4,259
Current asthma among adults,15828,0.11,297
Visits to doctor for routine checkup within the past year among adults,15828,0.839,297
Depression among adults,15828,0.226,297
Obesity among adults,15828,0.362,297
Current asthma among adults,15829,0.111,1146
Visits to doctor for routine checkup within the past year among adults,15829,0.784,1146
Depression among adults,15829,0.244,1146
Obesity among adults,15829,0.35,1146
Current asthma among adults,15831,0.107,197
Visits to doctor for routine checkup within the past year among adults,15831,0.804,197
Depression among adults,15831,0.223,197
Obesity among adults,15831,0.387,197
Current asthma among adults,15832,0.105,313
Visits to doctor for routine checkup within the past year among adults,15832,0.838,313
Depression among adults,15832,0.221,313
Obesity among adults,15832,0.376,313
Current asthma among adults,15834,0.115,4078
Visits to doctor for routine checkup within the past year among adults,15834,0.803,4078
Depression among adults,15834,0.252,4078
Obesity among adults,15834,0.38,4078
Current asthma among adults,15840,0.108,1892
Visits to doctor for routine checkup within the past year among adults,15840,0.785,1892
Depression among adults,15840,0.243,1892
Obesity among adults,15840,0.357,1892
Current asthma among adults,15841,0.121,208
Visits to doctor for routine checkup within the past year among adults,15841,0.791,208
Depression among adults,15841,0.264,208
Obesity among adults,15841,0.404,208
Current asthma among adults,15845,0.108,3088
Visits to doctor for routine checkup within the past year among adults,15845,0.789,3088
Depression among adults,15845,0.237,3088
Obesity among adults,15845,0.379,3088
Current asthma among adults,15846,0.104,3209
Visits to doctor for routine checkup within the past year among adults,15846,0.793,3209
Depression among adults,15846,0.231,3209
Obesity among adults,15846,0.373,3209
Current asthma among adults,15847,0.115,62
Visits to doctor for routine checkup within the past year among adults,15847,0.765,62
Depression among adults,15847,0.27,62
Obesity among adults,15847,0.363,62
Current asthma among adults,15848,0.111,945
Visits to doctor for routine checkup within the past year among adults,15848,0.789,945
Depression among adults,15848,0.246,945
Obesity among adults,15848,0.373,945
Current asthma among adults,15849,0.111,1195
Visits to doctor for routine checkup within the past year among adults,15849,0.794,1195
Depression among adults,15849,0.24,1195
Obesity among adults,15849,0.37,1195
Current asthma among adults,15851,0.115,6537
Visits to doctor for routine checkup within the past year among adults,15851,0.781,6537
Depression among adults,15851,0.257,6537
Obesity among adults,15851,0.371,6537
Current asthma among adults,15853,0.111,6457
Visits to doctor for routine checkup within the past year among adults,15853,0.793,6457
Depression among adults,15853,0.245,6457
Obesity among adults,15853,0.396,6457
Current asthma among adults,15856,0.104,874
Visits to doctor for routine checkup within the past year among adults,15856,0.803,874
Depression among adults,15856,0.227,874
Obesity among adults,15856,0.355,874
Current asthma among adults,15857,0.108,12906
Visits to doctor for routine checkup within the past year among adults,15857,0.794,12906
Depression among adults,15857,0.235,12906
Obesity among adults,15857,0.381,12906
Current asthma among adults,15860,0.111,1118
Visits to doctor for routine checkup within the past year among adults,15860,0.809,1118
Depression among adults,15860,0.236,1118
Obesity among adults,15860,0.36,1118
Current asthma among adults,15861,0.109,135
Visits to doctor for routine checkup within the past year among adults,15861,0.826,135
Depression among adults,15861,0.229,135
Obesity among adults,15861,0.377,135
Current asthma among adults,15863,0.117,217
Visits to doctor for routine checkup within the past year among adults,15863,0.76,217
Depression among adults,15863,0.268,217
Obesity among adults,15863,0.39,217
Current asthma among adults,15864,0.111,1815
Visits to doctor for routine checkup within the past year among adults,15864,0.79,1815
Depression among adults,15864,0.245,1815
Obesity among adults,15864,0.36,1815
Current asthma among adults,15865,0.117,1187
Visits to doctor for routine checkup within the past year among adults,15865,0.771,1187
Depression among adults,15865,0.262,1187
Obesity among adults,15865,0.351,1187
Current asthma among adults,15866,0.111,230
Visits to doctor for routine checkup within the past year among adults,15866,0.785,230
Depression among adults,15866,0.243,230
Obesity among adults,15866,0.355,230
Current asthma among adults,15868,0.111,1570
Visits to doctor for routine checkup within the past year among adults,15868,0.793,1570
Depression among adults,15868,0.241,1570
Obesity among adults,15868,0.386,1570
Current asthma among adults,15870,0.109,1262
Visits to doctor for routine checkup within the past year among adults,15870,0.795,1262
Depression among adults,15870,0.237,1262
Obesity among adults,15870,0.395,1262
Current asthma among adults,15901,0.126,3379
Visits to doctor for routine checkup within the past year among adults,15901,0.819,3379
Depression among adults,15901,0.25,3379
Obesity among adults,15901,0.453,3379
Current asthma among adults,15902,0.122,11107
Visits to doctor for routine checkup within the past year among adults,15902,0.803,11107
Depression among adults,15902,0.261,11107
Obesity among adults,15902,0.421,11107
Current asthma among adults,15904,0.103,16065
Visits to doctor for routine checkup within the past year among adults,15904,0.8,16065
Depression among adults,15904,0.234,16065
Obesity among adults,15904,0.329,16065
Current asthma among adults,15905,0.105,19654
Visits to doctor for routine checkup within the past year among adults,15905,0.816,19654
Depression among adults,15905,0.232,19654
Obesity among adults,15905,0.352,19654
Current asthma among adults,15906,0.117,10060
Visits to doctor for routine checkup within the past year among adults,15906,0.806,10060
Depression among adults,15906,0.254,10060
Obesity among adults,15906,0.408,10060
Current asthma among adults,15909,0.109,5116
Visits to doctor for routine checkup within the past year among adults,15909,0.803,5116
Depression among adults,15909,0.245,5116
Obesity among adults,15909,0.368,5116
Current asthma among adults,15920,0.115,780
Visits to doctor for routine checkup within the past year among adults,15920,0.807,780
Depression among adults,15920,0.245,780
Obesity among adults,15920,0.387,780
Current asthma among adults,15921,0.114,471
Visits to doctor for routine checkup within the past year among adults,15921,0.781,471
Depression among adults,15921,0.261,471
Obesity among adults,15921,0.382,471
Current asthma among adults,15922,0.098,74
Visits to doctor for routine checkup within the past year among adults,15922,0.839,74
Depression among adults,15922,0.205,74
Obesity among adults,15922,0.379,74
Current asthma among adults,15923,0.106,1544
Visits to doctor for routine checkup within the past year among adults,15923,0.809,1544
Depression among adults,15923,0.236,1544
Obesity among adults,15923,0.331,1544
Current asthma among adults,15924,0.109,979
Visits to doctor for routine checkup within the past year among adults,15924,0.793,979
Depression among adults,15924,0.246,979
Obesity among adults,15924,0.377,979
Current asthma among adults,15925,0.112,162
Visits to doctor for routine checkup within the past year among adults,15925,0.769,162
Depression among adults,15925,0.262,162
Obesity among adults,15925,0.358,162
Current asthma among adults,15926,0.109,2429
Visits to doctor for routine checkup within the past year among adults,15926,0.811,2429
Depression among adults,15926,0.241,2429
Obesity among adults,15926,0.371,2429
Current asthma among adults,15927,0.107,1097
Visits to doctor for routine checkup within the past year among adults,15927,0.789,1097
Depression among adults,15927,0.247,1097
Obesity among adults,15927,0.369,1097
Current asthma among adults,15928,0.101,2002
Visits to doctor for routine checkup within the past year among adults,15928,0.828,2002
Depression among adults,15928,0.214,2002
Obesity among adults,15928,0.337,2002
Current asthma among adults,15929,0.108,66
Visits to doctor for routine checkup within the past year among adults,15929,0.819,66
Depression among adults,15929,0.229,66
Obesity among adults,15929,0.398,66
Current asthma among adults,15930,0.108,295
Visits to doctor for routine checkup within the past year among adults,15930,0.784,295
Depression among adults,15930,0.254,295
Obesity among adults,15930,0.35,295
Current asthma among adults,15931,0.104,9158
Visits to doctor for routine checkup within the past year among adults,15931,0.801,9158
Depression among adults,15931,0.234,9158
Obesity among adults,15931,0.351,9158
Current asthma among adults,15934,0.096,87
Visits to doctor for routine checkup within the past year among adults,15934,0.807,87
Depression among adults,15934,0.211,87
Current asthma among adults,15935,0.107,2247
Visits to doctor for routine checkup within the past year among adults,15935,0.804,2247
Depression among adults,15935,0.24,2247
Obesity among adults,15935,0.354,2247
Current asthma among adults,15936,0.106,1493
Visits to doctor for routine checkup within the past year among adults,15936,0.807,1493
Depression among adults,15936,0.236,1493
Obesity among adults,15936,0.363,1493
Current asthma among adults,15937,0.105,899
Visits to doctor for routine checkup within the past year among adults,15937,0.798,899
Depression among adults,15937,0.233,899
Obesity among adults,15937,0.347,899
Current asthma among adults,15938,0.109,2472
Visits to doctor for routine checkup within the past year among adults,15938,0.8,2472
Depression among adults,15938,0.245,2472
Obesity among adults,15938,0.368,2472
Current asthma among adults,15940,0.102,3712
Visits to doctor for routine checkup within the past year among adults,15940,0.749,3712
Depression among adults,15940,0.242,3712
Obesity among adults,15940,0.339,3712
Current asthma among adults,15942,0.104,1864
Visits to doctor for routine checkup within the past year among adults,15942,0.808,1864
Depression among adults,15942,0.234,1864
Obesity among adults,15942,0.364,1864
Current asthma among adults,15943,0.116,3603
Visits to doctor for routine checkup within the past year among adults,15943,0.798,3603
Depression among adults,15943,0.261,3603
Obesity among adults,15943,0.401,3603
Current asthma among adults,15944,0.11,3151
Visits to doctor for routine checkup within the past year among adults,15944,0.801,3151
Depression among adults,15944,0.242,3151
Obesity among adults,15944,0.362,3151
Current asthma among adults,15945,0.107,218
Visits to doctor for routine checkup within the past year among adults,15945,0.791,218
Depression among adults,15945,0.233,218
Obesity among adults,15945,0.373,218
Current asthma among adults,15946,0.107,6642
Visits to doctor for routine checkup within the past year among adults,15946,0.801,6642
Depression among adults,15946,0.243,6642
Obesity among adults,15946,0.365,6642
Current asthma among adults,15948,0.101,525
Visits to doctor for routine checkup within the past year among adults,15948,0.79,525
Depression among adults,15948,0.233,525
Obesity among adults,15948,0.361,525
Current asthma among adults,15949,0.11,631
Visits to doctor for routine checkup within the past year among adults,15949,0.796,631
Depression among adults,15949,0.236,631
Obesity among adults,15949,0.389,631
Current asthma among adults,15951,0.098,570
Visits to doctor for routine checkup within the past year among adults,15951,0.818,570
Depression among adults,15951,0.216,570
Obesity among adults,15951,0.348,570
Current asthma among adults,15952,0.111,1233
Visits to doctor for routine checkup within the past year among adults,15952,0.803,1233
Depression among adults,15952,0.25,1233
Obesity among adults,15952,0.36,1233
Current asthma among adults,15953,0.104,83
Visits to doctor for routine checkup within the past year among adults,15953,0.809,83
Depression among adults,15953,0.226,83
Obesity among adults,15953,0.363,83
Current asthma among adults,15954,0.112,2153
Visits to doctor for routine checkup within the past year among adults,15954,0.805,2153
Depression among adults,15954,0.241,2153
Obesity among adults,15954,0.374,2153
Current asthma among adults,15955,0.107,2116
Visits to doctor for routine checkup within the past year among adults,15955,0.793,2116
Depression among adults,15955,0.247,2116
Obesity among adults,15955,0.367,2116
Current asthma among adults,15956,0.107,2626
Visits to doctor for routine checkup within the past year among adults,15956,0.789,2626
Depression among adults,15956,0.247,2626
Obesity among adults,15956,0.372,2626
Current asthma among adults,15957,0.114,380
Visits to doctor for routine checkup within the past year among adults,15957,0.792,380
Depression among adults,15957,0.252,380
Obesity among adults,15957,0.404,380
Current asthma among adults,15958,0.11,2136
Visits to doctor for routine checkup within the past year among adults,15958,0.801,2136
Depression among adults,15958,0.248,2136
Obesity among adults,15958,0.367,2136
Current asthma among adults,15960,0.111,280
Visits to doctor for routine checkup within the past year among adults,15960,0.8,280
Depression among adults,15960,0.249,280
Obesity among adults,15960,0.383,280
Current asthma among adults,15961,0.108,928
Visits to doctor for routine checkup within the past year among adults,15961,0.796,928
Depression among adults,15961,0.24,928
Obesity among adults,15961,0.392,928
Current asthma among adults,15962,0.12,198
Visits to doctor for routine checkup within the past year among adults,15962,0.765,198
Depression among adults,15962,0.277,198
Obesity among adults,15962,0.378,198
Current asthma among adults,15963,0.107,10733
Visits to doctor for routine checkup within the past year among adults,15963,0.803,10733
Depression among adults,15963,0.24,10733
Obesity among adults,15963,0.361,10733
Current asthma among adults,16001,0.107,40085
Visits to doctor for routine checkup within the past year among adults,16001,0.8,40085
Depression among adults,16001,0.232,40085
Obesity among adults,16001,0.356,40085
Current asthma among adults,16002,0.106,15379
Visits to doctor for routine checkup within the past year among adults,16002,0.8,15379
Depression among adults,16002,0.231,15379
Obesity among adults,16002,0.352,15379
Current asthma among adults,16020,0.11,1155
Visits to doctor for routine checkup within the past year among adults,16020,0.787,1155
Depression among adults,16020,0.24,1155
Obesity among adults,16020,0.369,1155
Current asthma among adults,16022,0.109,294
Visits to doctor for routine checkup within the past year among adults,16022,0.772,294
Depression among adults,16022,0.244,294
Obesity among adults,16022,0.354,294
Current asthma among adults,16023,0.099,3987
Visits to doctor for routine checkup within the past year among adults,16023,0.822,3987
Depression among adults,16023,0.209,3987
Obesity among adults,16023,0.323,3987
Current asthma among adults,16024,0.103,212
Visits to doctor for routine checkup within the past year among adults,16024,0.788,212
Depression among adults,16024,0.234,212
Obesity among adults,16024,0.331,212
Current asthma among adults,16025,0.108,5220
Visits to doctor for routine checkup within the past year among adults,16025,0.795,5220
Depression among adults,16025,0.236,5220
Obesity among adults,16025,0.363,5220
Current asthma among adults,16027,0.102,376
Visits to doctor for routine checkup within the past year among adults,16027,0.783,376
Depression among adults,16027,0.228,376
Obesity among adults,16027,0.342,376
Current asthma among adults,16028,0.108,1761
Visits to doctor for routine checkup within the past year among adults,16028,0.794,1761
Depression among adults,16028,0.239,1761
Obesity among adults,16028,0.371,1761
Current asthma among adults,16029,0.108,764
Visits to doctor for routine checkup within the past year among adults,16029,0.791,764
Depression among adults,16029,0.242,764
Obesity among adults,16029,0.36,764
Current asthma among adults,16030,0.108,307
Visits to doctor for routine checkup within the past year among adults,16030,0.776,307
Depression among adults,16030,0.245,307
Obesity among adults,16030,0.369,307
Current asthma among adults,16033,0.102,6670
Visits to doctor for routine checkup within the past year among adults,16033,0.794,6670
Depression among adults,16033,0.226,6670
Obesity among adults,16033,0.336,6670
Current asthma among adults,16034,0.106,1769
Visits to doctor for routine checkup within the past year among adults,16034,0.792,1769
Depression among adults,16034,0.234,1769
Obesity among adults,16034,0.359,1769
Current asthma among adults,16035,0.108,128
Visits to doctor for routine checkup within the past year among adults,16035,0.781,128
Depression among adults,16035,0.243,128
Obesity among adults,16035,0.385,128
Current asthma among adults,16036,0.109,183
Visits to doctor for routine checkup within the past year among adults,16036,0.824,183
Depression among adults,16036,0.225,183
Obesity among adults,16036,0.355,183
Current asthma among adults,16037,0.105,5012
Visits to doctor for routine checkup within the past year among adults,16037,0.795,5012
Depression among adults,16037,0.228,5012
Obesity among adults,16037,0.346,5012
Current asthma among adults,16038,0.11,3153
Visits to doctor for routine checkup within the past year among adults,16038,0.795,3153
Depression among adults,16038,0.245,3153
Obesity among adults,16038,0.365,3153
Current asthma among adults,16040,0.108,963
Visits to doctor for routine checkup within the past year among adults,16040,0.78,963
Depression among adults,16040,0.24,963
Obesity among adults,16040,0.36,963
Current asthma among adults,16041,0.109,1781
Visits to doctor for routine checkup within the past year among adults,16041,0.791,1781
Depression among adults,16041,0.238,1781
Obesity among adults,16041,0.369,1781
Current asthma among adults,16045,0.112,1195
Visits to doctor for routine checkup within the past year among adults,16045,0.784,1195
Depression among adults,16045,0.247,1195
Obesity among adults,16045,0.368,1195
Current asthma among adults,16046,0.094,19257
Visits to doctor for routine checkup within the past year among adults,16046,0.793,19257
Depression among adults,16046,0.209,19257
Obesity among adults,16046,0.299,19257
Current asthma among adults,16048,0.111,168
Visits to doctor for routine checkup within the past year among adults,16048,0.79,168
Depression among adults,16048,0.239,168
Obesity among adults,16048,0.373,168
Current asthma among adults,16049,0.108,3098
Visits to doctor for routine checkup within the past year among adults,16049,0.797,3098
Depression among adults,16049,0.235,3098
Obesity among adults,16049,0.367,3098
Current asthma among adults,16050,0.112,1250
Visits to doctor for routine checkup within the past year among adults,16050,0.783,1250
Depression among adults,16050,0.244,1250
Obesity among adults,16050,0.369,1250
Current asthma among adults,16051,0.106,2895
Visits to doctor for routine checkup within the past year among adults,16051,0.798,2895
Depression among adults,16051,0.236,2895
Obesity among adults,16051,0.34,2895
Current asthma among adults,16052,0.108,2283
Visits to doctor for routine checkup within the past year among adults,16052,0.79,2283
Depression among adults,16052,0.238,2283
Obesity among adults,16052,0.348,2283
Current asthma among adults,16053,0.102,4028
Visits to doctor for routine checkup within the past year among adults,16053,0.816,4028
Depression among adults,16053,0.218,4028
Obesity among adults,16053,0.338,4028
Current asthma among adults,16054,0.109,418
Visits to doctor for routine checkup within the past year among adults,16054,0.785,418
Depression among adults,16054,0.239,418
Obesity among adults,16054,0.355,418
Current asthma among adults,16055,0.102,8886
Visits to doctor for routine checkup within the past year among adults,16055,0.796,8886
Depression among adults,16055,0.225,8886
Obesity among adults,16055,0.338,8886
Current asthma among adults,16056,0.102,4779
Visits to doctor for routine checkup within the past year among adults,16056,0.811,4779
Depression among adults,16056,0.219,4779
Obesity among adults,16056,0.337,4779
Current asthma among adults,16057,0.119,14327
Visits to doctor for routine checkup within the past year among adults,16057,0.767,14327
Depression among adults,16057,0.278,14327
Obesity among adults,16057,0.344,14327
Current asthma among adults,16059,0.1,9520
Visits to doctor for routine checkup within the past year among adults,16059,0.808,9520
Depression among adults,16059,0.219,9520
Obesity among adults,16059,0.334,9520
Current asthma among adults,16061,0.108,2499
Visits to doctor for routine checkup within the past year among adults,16061,0.799,2499
Depression among adults,16061,0.236,2499
Obesity among adults,16061,0.363,2499
Current asthma among adults,16063,0.099,7596
Visits to doctor for routine checkup within the past year among adults,16063,0.806,7596
Depression among adults,16063,0.216,7596
Obesity among adults,16063,0.326,7596
Current asthma among adults,16066,0.096,32922
Visits to doctor for routine checkup within the past year among adults,16066,0.789,32922
Depression among adults,16066,0.216,32922
Obesity among adults,16066,0.312,32922
Current asthma among adults,16101,0.116,31960
Visits to doctor for routine checkup within the past year among adults,16101,0.8,31960
Depression among adults,16101,0.255,31960
Obesity among adults,16101,0.38,31960
Current asthma among adults,16102,0.114,5468
Visits to doctor for routine checkup within the past year among adults,16102,0.795,5468
Depression among adults,16102,0.259,5468
Obesity among adults,16102,0.366,5468
Current asthma among adults,16105,0.104,15420
Visits to doctor for routine checkup within the past year among adults,16105,0.814,15420
Depression among adults,16105,0.233,15420
Obesity among adults,16105,0.332,15420
Current asthma among adults,16110,0.113,357
Visits to doctor for routine checkup within the past year among adults,16110,0.795,357
Depression among adults,16110,0.252,357
Obesity among adults,16110,0.374,357
Current asthma among adults,16111,0.114,1244
Visits to doctor for routine checkup within the past year among adults,16111,0.77,1244
Depression among adults,16111,0.263,1244
Obesity among adults,16111,0.381,1244
Current asthma among adults,16112,0.105,1525
Visits to doctor for routine checkup within the past year among adults,16112,0.793,1525
Depression among adults,16112,0.242,1525
Obesity among adults,16112,0.335,1525
Current asthma among adults,16113,0.102,330
Visits to doctor for routine checkup within the past year among adults,16113,0.809,330
Depression among adults,16113,0.218,330
Obesity among adults,16113,0.334,330
Current asthma among adults,16114,0.112,613
Visits to doctor for routine checkup within the past year among adults,16114,0.804,613
Depression among adults,16114,0.243,613
Obesity among adults,16114,0.356,613
Current asthma among adults,16115,0.105,3324
Visits to doctor for routine checkup within the past year among adults,16115,0.794,3324
Depression among adults,16115,0.236,3324
Obesity among adults,16115,0.368,3324
Current asthma among adults,16116,0.107,2573
Visits to doctor for routine checkup within the past year among adults,16116,0.791,2573
Depression among adults,16116,0.244,2573
Obesity among adults,16130,0.353,1964
Obesity among adults,16116,0.357,2573
Current asthma among adults,16117,0.107,16459
Visits to doctor for routine checkup within the past year among adults,16117,0.791,16459
Depression among adults,16117,0.246,16459
Obesity among adults,16117,0.352,16459
Current asthma among adults,16120,0.107,2221
Visits to doctor for routine checkup within the past year among adults,16120,0.8,2221
Depression among adults,16120,0.244,2221
Obesity among adults,16120,0.356,2221
Current asthma among adults,16121,0.133,4258
Visits to doctor for routine checkup within the past year among adults,16121,0.828,4258
Depression among adults,16121,0.233,4258
Obesity among adults,16121,0.452,4258
Current asthma among adults,16123,0.099,2158
Visits to doctor for routine checkup within the past year among adults,16123,0.803,2158
Depression among adults,16123,0.222,2158
Obesity among adults,16123,0.347,2158
Current asthma among adults,16124,0.115,1923
Visits to doctor for routine checkup within the past year among adults,16124,0.787,1923
Depression among adults,16124,0.252,1923
Obesity among adults,16124,0.36,1923
Current asthma among adults,16125,0.112,17198
Visits to doctor for routine checkup within the past year among adults,16125,0.806,17198
Depression among adults,16125,0.244,17198
Obesity among adults,16125,0.346,17198
Current asthma among adults,16127,0.112,15298
Visits to doctor for routine checkup within the past year among adults,16127,0.777,15298
Depression among adults,16127,0.253,15298
Obesity among adults,16127,0.316,15298
Current asthma among adults,16130,0.114,1964
Visits to doctor for routine checkup within the past year among adults,16130,0.805,1964
Depression among adults,16130,0.248,1964
Current asthma among adults,16131,0.115,971
Visits to doctor for routine checkup within the past year among adults,16131,0.786,971
Depression among adults,16131,0.259,971
Obesity among adults,16131,0.371,971
Current asthma among adults,16132,0.106,380
Visits to doctor for routine checkup within the past year among adults,16132,0.786,380
Depression among adults,16132,0.247,380
