Measure,ZipCode,Ratio,TotalPopulation
Depression among adults,77531,0.234,15666
Housing insecurity in the past 12 months among adults,77531,0.164,15666
Feeling socially isolated among adults,77531,0.345,15666
Obesity among adults,77531,0.43,15666
Current asthma among adults,77532,0.091,34679
Visits to doctor for routine checkup within the past year among adults,77532,0.726,34679
Depression among adults,77532,0.216,34679
Housing insecurity in the past 12 months among adults,77532,0.162,34679
Feeling socially isolated among adults,77532,0.374,34679
Obesity among adults,77532,0.337,34679
Current asthma among adults,77533,0.113,980
Visits to doctor for routine checkup within the past year among adults,77533,0.726,980
Depression among adults,77533,0.28,980
Housing insecurity in the past 12 months among adults,77533,0.149,980
Feeling socially isolated among adults,77533,0.354,980
Obesity among adults,77533,0.38,980
Current asthma among adults,77534,0.097,2998
Visits to doctor for routine checkup within the past year among adults,77534,0.718,2998
Depression among adults,77534,0.249,2998
Housing insecurity in the past 12 months among adults,77534,0.138,2998
Feeling socially isolated among adults,77534,0.34,2998
Obesity among adults,77534,0.411,2998
Current asthma among adults,77535,0.106,36494
Visits to doctor for routine checkup within the past year among adults,77535,0.721,36494
Depression among adults,77535,0.256,36494
Housing insecurity in the past 12 months among adults,77535,0.172,36494
Feeling socially isolated among adults,77535,0.366,36494
Obesity among adults,77535,0.382,36494
Current asthma among adults,77536,0.089,33693
Visits to doctor for routine checkup within the past year among adults,77536,0.723,33693
Depression among adults,77536,0.218,33693
Housing insecurity in the past 12 months among adults,77536,0.144,33693
Feeling socially isolated among adults,77536,0.364,33693
Obesity among adults,77536,0.323,33693
Current asthma among adults,77538,0.111,809
Visits to doctor for routine checkup within the past year among adults,77538,0.754,809
Depression among adults,77538,0.259,809
Housing insecurity in the past 12 months among adults,77538,0.182,809
Feeling socially isolated among adults,77538,0.362,809
Obesity among adults,77538,0.396,809
Current asthma among adults,77539,0.101,48183
Visits to doctor for routine checkup within the past year among adults,77539,0.707,48183
Depression among adults,77539,0.242,48183
Housing insecurity in the past 12 months among adults,77539,0.162,48183
Feeling socially isolated among adults,77539,0.349,48183
Obesity among adults,77539,0.416,48183
Current asthma among adults,77541,0.1,16441
Visits to doctor for routine checkup within the past year among adults,77541,0.721,16441
Depression among adults,77541,0.238,16441
Housing insecurity in the past 12 months among adults,77541,0.204,16441
Feeling socially isolated among adults,77541,0.347,16441
Obesity among adults,77541,0.467,16441
Current asthma among adults,77545,0.103,26563
Visits to doctor for routine checkup within the past year among adults,77545,0.756,26563
Depression among adults,77545,0.188,26563
Housing insecurity in the past 12 months among adults,77545,0.215,26563
Feeling socially isolated among adults,77545,0.364,26563
Obesity among adults,77545,0.42,26563
Current asthma among adults,77546,0.088,54670
Visits to doctor for routine checkup within the past year among adults,77546,0.733,54670
Depression among adults,77546,0.213,54670
Housing insecurity in the past 12 months among adults,77546,0.1,54670
Feeling socially isolated among adults,77546,0.332,54670
Obesity among adults,77546,0.328,54670
Current asthma among adults,77547,0.093,9627
Visits to doctor for routine checkup within the past year among adults,77547,0.704,9627
Depression among adults,77547,0.21,9627
Housing insecurity in the past 12 months among adults,77547,0.285,9627
Feeling socially isolated among adults,77547,0.404,9627
Obesity among adults,77547,0.406,9627
Current asthma among adults,77550,0.105,24247
Visits to doctor for routine checkup within the past year among adults,77550,0.736,24247
Depression among adults,77550,0.234,24247
Housing insecurity in the past 12 months among adults,77550,0.179,24247
Feeling socially isolated among adults,77550,0.342,24247
Obesity among adults,77550,0.438,24247
Current asthma among adults,77551,0.101,22677
Visits to doctor for routine checkup within the past year among adults,77551,0.736,22677
Depression among adults,77551,0.231,22677
Housing insecurity in the past 12 months among adults,77551,0.17,22677
Feeling socially isolated among adults,77551,0.339,22677
Obesity among adults,77551,0.434,22677
Current asthma among adults,77554,0.096,8961
Visits to doctor for routine checkup within the past year among adults,77554,0.751,8961
Depression among adults,77554,0.233,8961
Housing insecurity in the past 12 months among adults,77554,0.096,8961
Feeling socially isolated among adults,77554,0.318,8961
Obesity among adults,77554,0.37,8961
Current asthma among adults,77560,0.105,960
Visits to doctor for routine checkup within the past year among adults,77560,0.757,960
Depression among adults,77560,0.221,960
Housing insecurity in the past 12 months among adults,77560,0.171,960
Feeling socially isolated among adults,77560,0.34,960
Obesity among adults,77560,0.423,960
Current asthma among adults,77561,0.112,92
Visits to doctor for routine checkup within the past year among adults,77561,0.713,92
Depression among adults,77561,0.282,92
Housing insecurity in the past 12 months among adults,77561,0.18,92
Feeling socially isolated among adults,77561,0.375,92
Obesity among adults,77561,0.401,92
Current asthma among adults,77562,0.095,11861
Visits to doctor for routine checkup within the past year among adults,77562,0.728,11861
Depression among adults,77562,0.226,11861
Housing insecurity in the past 12 months among adults,77562,0.196,11861
Feeling socially isolated among adults,77562,0.382,11861
Obesity among adults,77562,0.361,11861
Current asthma among adults,77563,0.103,9778
Visits to doctor for routine checkup within the past year among adults,77563,0.739,9778
Depression among adults,77563,0.233,9778
Housing insecurity in the past 12 months among adults,77563,0.156,9778
Feeling socially isolated among adults,77563,0.339,9778
Obesity among adults,77563,0.422,9778
Current asthma among adults,77564,0.107,2047
Visits to doctor for routine checkup within the past year among adults,77564,0.741,2047
Depression among adults,77564,0.264,2047
Housing insecurity in the past 12 months among adults,77564,0.14,2047
Feeling socially isolated among adults,77564,0.346,2047
Obesity among adults,77564,0.378,2047
Current asthma among adults,77565,0.096,6966
Visits to doctor for routine checkup within the past year among adults,77565,0.741,6966
Depression among adults,77565,0.235,6966
Housing insecurity in the past 12 months among adults,77565,0.101,6966
Feeling socially isolated among adults,77565,0.313,6966
Obesity among adults,77565,0.386,6966
Current asthma among adults,77566,0.093,30538
Visits to doctor for routine checkup within the past year among adults,77566,0.729,30538
Depression among adults,77566,0.233,30538
Housing insecurity in the past 12 months among adults,77566,0.133,30538
Feeling socially isolated among adults,77566,0.329,30538
Obesity among adults,77566,0.406,30538
Current asthma among adults,77568,0.107,20254
Visits to doctor for routine checkup within the past year among adults,77568,0.732,20254
Depression among adults,77568,0.23,20254
Housing insecurity in the past 12 months among adults,77568,0.204,20254
Feeling socially isolated among adults,77568,0.355,20254
Obesity among adults,77568,0.454,20254
Current asthma among adults,77571,0.092,37018
Visits to doctor for routine checkup within the past year among adults,77571,0.726,37018
Depression among adults,77571,0.222,37018
Housing insecurity in the past 12 months among adults,77571,0.164,37018
Feeling socially isolated among adults,77571,0.371,37018
Obesity among adults,77571,0.344,37018
Current asthma among adults,77573,0.092,95256
Visits to doctor for routine checkup within the past year among adults,77573,0.716,95256
Depression among adults,77573,0.227,95256
Housing insecurity in the past 12 months among adults,77573,0.102,95256
Feeling socially isolated among adults,77573,0.326,95256
Obesity among adults,77573,0.366,95256
Current asthma among adults,77575,0.108,15768
Visits to doctor for routine checkup within the past year among adults,77575,0.746,15768
Depression among adults,77575,0.247,15768
Housing insecurity in the past 12 months among adults,77575,0.193,15768
Feeling socially isolated among adults,77575,0.366,15768
Obesity among adults,77575,0.397,15768
Current asthma among adults,77577,0.099,1250
Visits to doctor for routine checkup within the past year among adults,77577,0.739,1250
Depression among adults,77577,0.242,1250
Housing insecurity in the past 12 months among adults,77577,0.128,1250
Feeling socially isolated among adults,77577,0.324,1250
Obesity among adults,77577,0.425,1250
Current asthma among adults,77578,0.091,25228
Visits to doctor for routine checkup within the past year among adults,77578,0.736,25228
Depression among adults,77578,0.207,25228
Housing insecurity in the past 12 months among adults,77578,0.138,25228
Feeling socially isolated among adults,77578,0.328,25228
Obesity among adults,77578,0.399,25228
Current asthma among adults,77580,0.092,99
Visits to doctor for routine checkup within the past year among adults,77580,0.721,99
Depression among adults,77580,0.207,99
Housing insecurity in the past 12 months among adults,77580,0.136,99
Feeling socially isolated among adults,77580,0.34,99
Obesity among adults,77580,0.391,99
Current asthma among adults,77581,0.088,49198
Visits to doctor for routine checkup within the past year among adults,77581,0.736,49198
Depression among adults,77581,0.212,49198
Housing insecurity in the past 12 months among adults,77581,0.118,49198
Feeling socially isolated among adults,77581,0.324,49198
Obesity among adults,77581,0.379,49198
Current asthma among adults,77582,0.121,262
Visits to doctor for routine checkup within the past year among adults,77582,0.758,262
Depression among adults,77582,0.267,262
Housing insecurity in the past 12 months among adults,77582,0.19,262
Feeling socially isolated among adults,77582,0.36,262
Obesity among adults,77582,0.412,262
Current asthma among adults,77583,0.09,43113
Visits to doctor for routine checkup within the past year among adults,77583,0.714,43113
Depression among adults,77583,0.196,43113
Housing insecurity in the past 12 months among adults,77583,0.178,43113
Feeling socially isolated among adults,77583,0.345,43113
Obesity among adults,77583,0.427,43113
Current asthma among adults,77584,0.087,93062
Visits to doctor for routine checkup within the past year among adults,77584,0.74,93062
Depression among adults,77584,0.193,93062
Housing insecurity in the past 12 months among adults,77584,0.126,93062
Feeling socially isolated among adults,77584,0.322,93062
Obesity among adults,77584,0.375,93062
Current asthma among adults,77585,0.109,892
Visits to doctor for routine checkup within the past year among adults,77585,0.751,892
Depression among adults,77585,0.266,892
Housing insecurity in the past 12 months among adults,77585,0.146,892
Feeling socially isolated among adults,77585,0.333,892
Obesity among adults,77585,0.413,892
Current asthma among adults,77586,0.088,23503
Visits to doctor for routine checkup within the past year among adults,77586,0.737,23503
Depression among adults,77586,0.215,23503
Housing insecurity in the past 12 months among adults,77586,0.106,23503
Feeling socially isolated among adults,77586,0.348,23503
Obesity among adults,77586,0.299,23503
Current asthma among adults,77587,0.092,16179
Visits to doctor for routine checkup within the past year among adults,77587,0.692,16179
Depression among adults,77587,0.209,16179
Housing insecurity in the past 12 months among adults,77587,0.266,16179
Feeling socially isolated among adults,77587,0.402,16179
Obesity among adults,77587,0.388,16179
Current asthma among adults,77590,0.106,30758
Visits to doctor for routine checkup within the past year among adults,77590,0.724,30758
Depression among adults,77590,0.239,30758
Housing insecurity in the past 12 months among adults,77590,0.192,30758
Feeling socially isolated among adults,77590,0.355,30758
Obesity among adults,77590,0.441,30758
Current asthma among adults,77591,0.114,17347
Visits to doctor for routine checkup within the past year among adults,77591,0.743,17347
Depression among adults,77591,0.229,17347
Housing insecurity in the past 12 months among adults,77591,0.226,17347
Feeling socially isolated among adults,77591,0.364,17347
Obesity among adults,77591,0.474,17347
Current asthma among adults,77597,0.102,734
Visits to doctor for routine checkup within the past year among adults,77597,0.755,734
Depression among adults,77597,0.24,734
Housing insecurity in the past 12 months among adults,77597,0.141,734
Feeling socially isolated among adults,77597,0.327,734
Obesity among adults,77597,0.414,734
Current asthma among adults,77598,0.091,25620
Visits to doctor for routine checkup within the past year among adults,77598,0.705,25620
Depression among adults,77598,0.216,25620
Housing insecurity in the past 12 months among adults,77598,0.182,25620
Feeling socially isolated among adults,77598,0.388,25620
Obesity among adults,77598,0.33,25620
Current asthma among adults,77611,0.103,9993
Visits to doctor for routine checkup within the past year among adults,77611,0.717,9993
Depression among adults,77611,0.268,9993
Housing insecurity in the past 12 months among adults,77611,0.125,9993
Feeling socially isolated among adults,77611,0.342,9993
Obesity among adults,77611,0.396,9993
Current asthma among adults,77612,0.113,9311
Visits to doctor for routine checkup within the past year among adults,77612,0.737,9311
Depression among adults,77612,0.272,9311
Housing insecurity in the past 12 months among adults,77612,0.147,9311
Feeling socially isolated among adults,77612,0.356,9311
Obesity among adults,77612,0.392,9311
Current asthma among adults,77613,0.102,1293
Visits to doctor for routine checkup within the past year among adults,77613,0.759,1293
Depression among adults,77613,0.22,1293
Housing insecurity in the past 12 months among adults,77613,0.144,1293
Feeling socially isolated among adults,77613,0.342,1293
Obesity among adults,77613,0.348,1293
Current asthma among adults,77614,0.099,468
Visits to doctor for routine checkup within the past year among adults,77614,0.761,468
Depression among adults,77614,0.24,468
Housing insecurity in the past 12 months among adults,77614,0.139,468
Feeling socially isolated among adults,77614,0.335,468
Obesity among adults,77614,0.382,468
Current asthma among adults,77615,0.108,314
Visits to doctor for routine checkup within the past year among adults,77615,0.75,314
Depression among adults,77615,0.267,314
Housing insecurity in the past 12 months among adults,77615,0.099,314
Feeling socially isolated among adults,77615,0.34,314
Obesity among adults,77615,0.372,314
