Id,ZipCode,Longitude,Latitude
99866,19014,-75.42754,39.85153
99867,19014,-75.40749,39.85819
99868,19008,-75.349851,39.980241
99869,19003,-75.32228,39.99393
99870,19083,-75.292871,39.969191
99871,19083,-75.3281,39.97422
99872,19083,-75.29804,39.97579
99873,19064,-75.33936,39.91644
99874,19082,-75.27035,39.95693
99875,19086,-75.37763,39.89449
99876,19073,-75.404704,39.996844
99877,19073,-75.412011,39.986011
99878,19026,-75.29189,39.94707
99879,19082,-75.261022,39.948831
99880,19014,-75.44231,39.87069
99881,19050,-75.255,39.92443
99882,19082,-75.2636,39.95674
99883,19014,-75.442432,39.87415
99884,19013,-75.385428,39.839681
99885,19015,-75.378861,39.85512
99886,19082,-75.2681064,39.9577333
99887,19082,-75.260811,39.953351
99888,19082,-75.2597,39.9611
99889,19070,-75.32803,39.90664
99890,19094,-75.35543,39.8695
99891,19073,-75.3974,39.96854
99892,19043,-75.30599,39.90532
99893,19064,-75.32464,39.92073
99894,19342,-75.49113,39.92295
99895,19082,-75.2903,39.968
99896,19015,-75.39365,39.87386
99897,19014,-75.42967,39.86248
99898,19060,-75.487862,39.84679
99899,19082,-75.283171,39.96045
99900,19063,-75.42482,39.917
99901,19026,-75.30975,39.9461
99902,19026,-75.28844,39.94048
99903,19087,-75.37592,40.04289
99904,19050,-75.26006,39.9429
99905,19018,-75.29807,39.92229
99906,19082,-75.2626,39.95977
99907,19013,-75.36647,39.86681
99908,19083,-75.29973,39.98108
99909,19087,-75.404181,40.0348
99910,19018,-75.29546,39.93045
99911,19014,-75.42138,39.86677
99912,19083,-75.292,39.96986
99913,19008,-75.36755,39.98846
99914,19087,-75.3887253,40.0436286
99915,19083,-75.316381,39.98388
99916,19063,-75.38535,39.92392
99917,19050,-75.2743152,39.9430923
99918,19083,-75.313842,39.985961
99919,19064,-75.34279,39.92805
99920,19079,-75.267982,39.90118
99921,19082,-75.27715,39.96495
99922,19008,-75.360352,39.961871
99923,19083,-75.320382,39.982901
99924,19023,-75.25269,39.91665
99925,19079,-75.26602,39.90127
99926,19083,-75.295176,39.982673
99927,19083,-75.320091,39.978601
99928,19063,-75.38402,39.91494
99929,19015,-75.38519,39.87262
99930,19083,-75.28534,39.97607
99931,19085,-75.365242,40.02856
99932,19036,-75.296089,39.903291
99933,19008,-75.3583887,39.9849811
99934,19050,-75.2879,39.94056
99935,19086,-75.36102,39.87964
99936,19026,-75.29861,39.96116
99937,19074,-75.29734,39.88964
99938,19070,-75.315801,39.90058
99939,19082,-75.26768,39.95646
99940,19082,-75.28173,39.96727
99941,19018,-75.30796,39.93014
99942,19082,-75.264132,39.955681
99943,19023,-75.27475,39.9128
99944,19082,-75.25838,39.95984
99945,19073,-75.415022,39.975
99946,19064,-75.34274,39.93818
99947,19342,-75.50663,39.8965
99948,19064,-75.33047,39.90936
99949,19023,-75.25038,39.91963
99950,19085,-75.370862,40.031711
99951,19026,-75.31447,39.95324
99952,19342,-75.513204,39.871997
99953,19061,-75.42657,39.82721
99954,19083,-75.29347,39.98316
99955,19064,-75.32248,39.93877
99956,19023,-75.26469,39.91535
99957,19064,-75.34272,39.92623
99958,19026,-75.29577,39.94526
99959,19063,-75.44741,39.91059
99960,19061,-75.46138,39.85579
99961,19342,-75.53475,39.88849
99962,19063,-75.38791,39.93308
99963,19063,-75.44126,39.9045
99964,19063,-75.4064,39.90407
99965,19073,-75.408091,39.997711
99966,19079,-75.27024,39.90211
99967,19013,-75.38728,39.83559
99968,19063,-75.43864,39.9179
99969,19026,-75.298642,39.945021
99970,19026,-75.2991,39.95472
99971,19050,-75.254733,39.921314
99972,19079,-75.272942,39.909091
99973,19074,-75.297761,39.89093
99974,19018,-75.30717,39.91009
99975,19023,-75.28416,39.91901
99976,19023,-75.28027,39.91667
99977,19063,-75.39397,39.93626
99978,19061,-75.419992,39.823621
99979,19081,-75.34636,39.90524
99980,19073,-75.437241,39.976276
99981,19082,-75.25989,39.94762
99982,19026,-75.29269,39.93416
